country,year_check
Argentina,2000
Argentina,2001
Argentina,2002
Argentina,2003
Argentina,2004
Argentina,2005
Argentina,2006
Argentina,2007
Argentina,2008
Argentina,2009
Argentina,2010
Argentina,2011
Argentina,2012
Argentina,2013
Argentina,2014
Austria,2000
Austria,2001
Austria,2002
Austria,2003
Austria,2004
Austria,2005
Austria,2006
Austria,2007
Austria,2008
Austria,2009
Austria,2010
Austria,2011
Austria,2012
Austria,2013
Austria,2014
Bahrain,2000
Bahrain,2001
Bahrain,2002
Bahrain,2003
Bahrain,2004
Bahrain,2005
Bahrain,2006
Bahrain,2007
Bahrain,2008
Bahrain,2009
Bahrain,2010
Bahrain,2011
Bahrain,2012
Bahrain,2013
Bahrain,2014
Belgium,2000
Belgium,2001
Belgium,2002
Belgium,2003
Belgium,2004
Belgium,2005
Belgium,2006
Belgium,2007
Belgium,2008
Belgium,2009
Belgium,2010
Belgium,2011
Belgium,2012
Belgium,2013
Belgium,2014
Belize,2000
Belize,2001
Belize,2002
Belize,2003
Belize,2004
Belize,2005
Belize,2006
Belize,2007
Belize,2008
Belize,2009
Belize,2010
Belize,2011
Belize,2012
Belize,2013
Belize,2014
Brazil,2000
Brazil,2001
Brazil,2002
Brazil,2003
Brazil,2004
Brazil,2005
Brazil,2006
Brazil,2007
Brazil,2008
Brazil,2009
Brazil,2010
Brazil,2011
Brazil,2012
Brazil,2013
Brazil,2014
Bulgaria,2000
Bulgaria,2001
Bulgaria,2002
Bulgaria,2003
Bulgaria,2004
Bulgaria,2005
Bulgaria,2006
Bulgaria,2007
Bulgaria,2008
Bulgaria,2009
Bulgaria,2010
Bulgaria,2011
Bulgaria,2012
Bulgaria,2013
Bulgaria,2014
Chile,2000
Chile,2001
Chile,2002
Chile,2003
Chile,2004
Chile,2005
Chile,2006
Chile,2007
Chile,2008
Chile,2009
Chile,2010
Chile,2011
Chile,2012
Chile,2013
Chile,2014
Colombia,2000
Colombia,2001
Colombia,2002
Colombia,2003
Colombia,2004
Colombia,2005
Colombia,2006
Colombia,2007
Colombia,2008
Colombia,2009
Colombia,2010
Colombia,2011
Colombia,2012
Colombia,2013
Colombia,2014
Costa Rica,2000
Costa Rica,2001
Costa Rica,2002
Costa Rica,2003
Costa Rica,2004
Costa Rica,2005
Costa Rica,2006
Costa Rica,2007
Costa Rica,2008
Costa Rica,2009
Costa Rica,2010
Costa Rica,2011
Costa Rica,2012
Costa Rica,2013
Costa Rica,2014
Croatia,2000
Croatia,2001
Croatia,2002
Croatia,2003
Croatia,2004
Croatia,2005
Croatia,2006
Croatia,2007
Croatia,2008
Croatia,2009
Croatia,2010
Croatia,2011
Croatia,2012
Croatia,2013
Croatia,2014
Cuba,2000
Cuba,2001
Cuba,2002
Cuba,2003
Cuba,2004
Cuba,2005
Cuba,2006
Cuba,2007
Cuba,2008
Cuba,2009
Cuba,2010
Cuba,2011
Cuba,2012
Cuba,2013
Cuba,2014
Czech Republic,2000
Czech Republic,2001
Czech Republic,2002
Czech Republic,2003
Czech Republic,2004
Czech Republic,2005
Czech Republic,2006
Czech Republic,2007
Czech Republic,2008
Czech Republic,2009
Czech Republic,2010
Czech Republic,2011
Czech Republic,2012
Czech Republic,2013
Czech Republic,2014
Denmark,2000
Denmark,2001
Denmark,2002
Denmark,2003
Denmark,2004
Denmark,2005
Denmark,2006
Denmark,2007
Denmark,2008
Denmark,2009
Denmark,2010
Denmark,2011
Denmark,2012
Denmark,2013
Denmark,2014
Ecuador,2000
Ecuador,2001
Ecuador,2002
Ecuador,2003
Ecuador,2004
Ecuador,2005
Ecuador,2006
Ecuador,2007
Ecuador,2008
Ecuador,2009
Ecuador,2010
Ecuador,2011
Ecuador,2012
Ecuador,2013
Ecuador,2014
El Salvador,2000
El Salvador,2001
El Salvador,2002
El Salvador,2003
El Salvador,2004
El Salvador,2005
El Salvador,2006
El Salvador,2007
El Salvador,2008
El Salvador,2009
El Salvador,2010
El Salvador,2011
El Salvador,2012
El Salvador,2013
El Salvador,2014
Estonia,2000
Estonia,2001
Estonia,2002
Estonia,2003
Estonia,2004
Estonia,2005
Estonia,2006
Estonia,2007
Estonia,2008
Estonia,2009
Estonia,2010
Estonia,2011
Estonia,2012
Estonia,2013
Estonia,2014
Finland,2000
Finland,2001
Finland,2002
Finland,2003
Finland,2004
Finland,2005
Finland,2006
Finland,2007
Finland,2008
Finland,2009
Finland,2010
Finland,2011
Finland,2012
Finland,2013
Finland,2014
France,2000
France,2001
France,2002
France,2003
France,2004
France,2005
France,2006
France,2007
France,2008
France,2009
France,2010
France,2011
France,2012
France,2013
France,2014
Germany,2000
Germany,2001
Germany,2002
Germany,2003
Germany,2004
Germany,2005
Germany,2006
Germany,2007
Germany,2008
Germany,2009
Germany,2010
Germany,2011
Germany,2012
Germany,2013
Germany,2014
Greece,2000
Greece,2001
Greece,2002
Greece,2003
Greece,2004
Greece,2005
Greece,2006
Greece,2007
Greece,2008
Greece,2009
Greece,2010
Greece,2011
Greece,2012
Greece,2013
Greece,2014
Guatemala,2000
Guatemala,2001
Guatemala,2002
Guatemala,2003
Guatemala,2004
Guatemala,2005
Guatemala,2006
Guatemala,2007
Guatemala,2008
Guatemala,2009
Guatemala,2010
Guatemala,2011
Guatemala,2012
Guatemala,2013
Guatemala,2014
Hungary,2000
Hungary,2001
Hungary,2002
Hungary,2003
Hungary,2004
Hungary,2005
Hungary,2006
Hungary,2007
Hungary,2008
Hungary,2009
Hungary,2010
Hungary,2011
Hungary,2012
Hungary,2013
Hungary,2014
Iceland,2000
Iceland,2001
Iceland,2002
Iceland,2003
Iceland,2004
Iceland,2005
Iceland,2006
Iceland,2007
Iceland,2008
Iceland,2009
Iceland,2010
Iceland,2011
Iceland,2012
Iceland,2013
Iceland,2014
Ireland,2000
Ireland,2001
Ireland,2002
Ireland,2003
Ireland,2004
Ireland,2005
Ireland,2006
Ireland,2007
Ireland,2008
Ireland,2009
Ireland,2010
Ireland,2011
Ireland,2012
Ireland,2013
Ireland,2014
Israel,2000
Israel,2001
Israel,2002
Israel,2003
Israel,2004
Israel,2005
Israel,2006
Israel,2007
Israel,2008
Israel,2009
Israel,2010
Israel,2011
Israel,2012
Israel,2013
Israel,2014
Italy,2000
Italy,2001
Italy,2002
Italy,2003
Italy,2004
Italy,2005
Italy,2006
Italy,2007
Italy,2008
Italy,2009
Italy,2010
Italy,2011
Italy,2012
Italy,2013
Italy,2014
Japan,2000
Japan,2001
Japan,2002
Japan,2003
Japan,2004
Japan,2005
Japan,2006
Japan,2007
Japan,2008
Japan,2009
Japan,2010
Japan,2011
Japan,2012
Japan,2013
Japan,2014
Kazakhstan,2000
Kazakhstan,2001
Kazakhstan,2002
Kazakhstan,2003
Kazakhstan,2004
Kazakhstan,2005
Kazakhstan,2006
Kazakhstan,2007
Kazakhstan,2008
Kazakhstan,2009
Kazakhstan,2010
Kazakhstan,2011
Kazakhstan,2012
Kazakhstan,2013
Kazakhstan,2014
Kuwait,2000
Kuwait,2001
Kuwait,2002
Kuwait,2003
Kuwait,2004
Kuwait,2005
Kuwait,2006
Kuwait,2007
Kuwait,2008
Kuwait,2009
Kuwait,2010
Kuwait,2011
Kuwait,2012
Kuwait,2013
Kuwait,2014
Kyrgyzstan,2000
Kyrgyzstan,2001
Kyrgyzstan,2002
Kyrgyzstan,2003
Kyrgyzstan,2004
Kyrgyzstan,2005
Kyrgyzstan,2006
Kyrgyzstan,2007
Kyrgyzstan,2008
Kyrgyzstan,2009
Kyrgyzstan,2010
Kyrgyzstan,2011
Kyrgyzstan,2012
Kyrgyzstan,2013
Kyrgyzstan,2014
Latvia,2000
Latvia,2001
Latvia,2002
Latvia,2003
Latvia,2004
Latvia,2005
Latvia,2006
Latvia,2007
Latvia,2008
Latvia,2009
Latvia,2010
Latvia,2011
Latvia,2012
Latvia,2013
Latvia,2014
Lithuania,2000
Lithuania,2001
Lithuania,2002
Lithuania,2003
Lithuania,2004
Lithuania,2005
Lithuania,2006
Lithuania,2007
Lithuania,2008
Lithuania,2009
Lithuania,2010
Lithuania,2011
Lithuania,2012
Lithuania,2013
Lithuania,2014
Luxembourg,2000
Luxembourg,2001
Luxembourg,2002
Luxembourg,2003
Luxembourg,2004
Luxembourg,2005
Luxembourg,2006
Luxembourg,2007
Luxembourg,2008
Luxembourg,2009
Luxembourg,2010
Luxembourg,2011
Luxembourg,2012
Luxembourg,2013
Luxembourg,2014
Malta,2000
Malta,2001
Malta,2002
Malta,2003
Malta,2004
Malta,2005
Malta,2006
Malta,2007
Malta,2008
Malta,2009
Malta,2010
Malta,2011
Malta,2012
Malta,2013
Malta,2014
Mauritius,2000
Mauritius,2001
Mauritius,2002
Mauritius,2003
Mauritius,2004
Mauritius,2005
Mauritius,2006
Mauritius,2007
Mauritius,2008
Mauritius,2009
Mauritius,2010
Mauritius,2011
Mauritius,2012
Mauritius,2013
Mauritius,2014
Mexico,2000
Mexico,2001
Mexico,2002
Mexico,2003
Mexico,2004
Mexico,2005
Mexico,2006
Mexico,2007
Mexico,2008
Mexico,2009
Mexico,2010
Mexico,2011
Mexico,2012
Mexico,2013
Mexico,2014
Netherlands,2000
Netherlands,2001
Netherlands,2002
Netherlands,2003
Netherlands,2004
Netherlands,2005
Netherlands,2006
Netherlands,2007
Netherlands,2008
Netherlands,2009
Netherlands,2010
Netherlands,2011
Netherlands,2012
Netherlands,2013
Netherlands,2014
Norway,2000
Norway,2001
Norway,2002
Norway,2003
Norway,2004
Norway,2005
Norway,2006
Norway,2007
Norway,2008
Norway,2009
Norway,2010
Norway,2011
Norway,2012
Norway,2013
Norway,2014
Panama,2000
Panama,2001
Panama,2002
Panama,2003
Panama,2004
Panama,2005
Panama,2006
Panama,2007
Panama,2008
Panama,2009
Panama,2010
Panama,2011
Panama,2012
Panama,2013
Panama,2014
Paraguay,2000
Paraguay,2001
Paraguay,2002
Paraguay,2003
Paraguay,2004
Paraguay,2005
Paraguay,2006
Paraguay,2007
Paraguay,2008
Paraguay,2009
Paraguay,2010
Paraguay,2011
Paraguay,2012
Paraguay,2013
Paraguay,2014
Poland,2000
Poland,2001
Poland,2002
Poland,2003
Poland,2004
Poland,2005
Poland,2006
Poland,2007
Poland,2008
Poland,2009
Poland,2010
Poland,2011
Poland,2012
Poland,2013
Poland,2014
Puerto Rico,2000
Puerto Rico,2001
Puerto Rico,2002
Puerto Rico,2003
Puerto Rico,2004
Puerto Rico,2005
Puerto Rico,2006
Puerto Rico,2007
Puerto Rico,2008
Puerto Rico,2009
Puerto Rico,2010
Puerto Rico,2011
Puerto Rico,2012
Puerto Rico,2013
Puerto Rico,2014
Republic of Korea,2000
Republic of Korea,2001
Republic of Korea,2002
Republic of Korea,2003
Republic of Korea,2004
Republic of Korea,2005
Republic of Korea,2006
Republic of Korea,2007
Republic of Korea,2008
Republic of Korea,2009
Republic of Korea,2010
Republic of Korea,2011
Republic of Korea,2012
Republic of Korea,2013
Republic of Korea,2014
Romania,2000
Romania,2001
Romania,2002
Romania,2003
Romania,2004
Romania,2005
Romania,2006
Romania,2007
Romania,2008
Romania,2009
Romania,2010
Romania,2011
Romania,2012
Romania,2013
Romania,2014
Russian Federation,2000
Russian Federation,2001
Russian Federation,2002
Russian Federation,2003
Russian Federation,2004
Russian Federation,2005
Russian Federation,2006
Russian Federation,2007
Russian Federation,2008
Russian Federation,2009
Russian Federation,2010
Russian Federation,2011
Russian Federation,2012
Russian Federation,2013
Russian Federation,2014
Saint Vincent and Grenadines,2000
Saint Vincent and Grenadines,2001
Saint Vincent and Grenadines,2002
Saint Vincent and Grenadines,2003
Saint Vincent and Grenadines,2004
Saint Vincent and Grenadines,2005
Saint Vincent and Grenadines,2006
Saint Vincent and Grenadines,2007
Saint Vincent and Grenadines,2008
Saint Vincent and Grenadines,2009
Saint Vincent and Grenadines,2010
Saint Vincent and Grenadines,2011
Saint Vincent and Grenadines,2012
Saint Vincent and Grenadines,2013
Saint Vincent and Grenadines,2014
Serbia,2000
Serbia,2001
Serbia,2002
Serbia,2003
Serbia,2004
Serbia,2005
Serbia,2006
Serbia,2007
Serbia,2008
Serbia,2009
Serbia,2010
Serbia,2011
Serbia,2012
Serbia,2013
Serbia,2014
Singapore,2000
Singapore,2001
Singapore,2002
Singapore,2003
Singapore,2004
Singapore,2005
Singapore,2006
Singapore,2007
Singapore,2008
Singapore,2009
Singapore,2010
Singapore,2011
Singapore,2012
Singapore,2013
Singapore,2014
Slovenia,2000
Slovenia,2001
Slovenia,2002
Slovenia,2003
Slovenia,2004
Slovenia,2005
Slovenia,2006
Slovenia,2007
Slovenia,2008
Slovenia,2009
Slovenia,2010
Slovenia,2011
Slovenia,2012
Slovenia,2013
Slovenia,2014
South Africa,2000
South Africa,2001
South Africa,2002
South Africa,2003
South Africa,2004
South Africa,2005
South Africa,2006
South Africa,2007
South Africa,2008
South Africa,2009
South Africa,2010
South Africa,2011
South Africa,2012
South Africa,2013
South Africa,2014
Spain,2000
Spain,2001
Spain,2002
Spain,2003
Spain,2004
Spain,2005
Spain,2006
Spain,2007
Spain,2008
Spain,2009
Spain,2010
Spain,2011
Spain,2012
Spain,2013
Spain,2014
Suriname,2000
Suriname,2001
Suriname,2002
Suriname,2003
Suriname,2004
Suriname,2005
Suriname,2006
Suriname,2007
Suriname,2008
Suriname,2009
Suriname,2010
Suriname,2011
Suriname,2012
Suriname,2013
Suriname,2014
Sweden,2000
Sweden,2001
Sweden,2002
Sweden,2003
Sweden,2004
Sweden,2005
Sweden,2006
Sweden,2007
Sweden,2008
Sweden,2009
Sweden,2010
Sweden,2011
Sweden,2012
Sweden,2013
Sweden,2014
Switzerland,2000
Switzerland,2001
Switzerland,2002
Switzerland,2003
Switzerland,2004
Switzerland,2005
Switzerland,2006
Switzerland,2007
Switzerland,2008
Switzerland,2009
Switzerland,2010
Switzerland,2011
Switzerland,2012
Switzerland,2013
Switzerland,2014
Turkmenistan,2000
Turkmenistan,2001
Turkmenistan,2002
Turkmenistan,2003
Turkmenistan,2004
Turkmenistan,2005
Turkmenistan,2006
Turkmenistan,2007
Turkmenistan,2008
Turkmenistan,2009
Turkmenistan,2010
Turkmenistan,2011
Turkmenistan,2012
Turkmenistan,2013
Turkmenistan,2014
United Kingdom,2000
United Kingdom,2001
United Kingdom,2002
United Kingdom,2003
United Kingdom,2004
United Kingdom,2005
United Kingdom,2006
United Kingdom,2007
United Kingdom,2008
United Kingdom,2009
United Kingdom,2010
United Kingdom,2011
United Kingdom,2012
United Kingdom,2013
United Kingdom,2014
United States,2000
United States,2001
United States,2002
United States,2003
United States,2004
United States,2005
United States,2006
United States,2007
United States,2008
United States,2009
United States,2010
United States,2011
United States,2012
United States,2013
United States,2014
